pc1,pc2,pc3,cluster
-0.86403686,-0.45637095,-0.12419739,0
-1.0601673,-0.41247854,-0.15449145,0
-0.5894456,-0.49253523,-0.09606946,0
-1.5600787,0.2519877,-0.32301122,0
-1.6634842,0.26255262,-0.34203926,0
-1.3309482,-0.1360724,-0.2674876,0
-1.6546229,-0.09761362,-0.36557803,0
-1.3748547,-0.14121683,-0.2709748,0
-1.6041228,0.109861,-0.30549783,0
-1.029285,-0.24299431,-0.14419182,0
-0.91841197,-0.36236405,-0.1353574,0
-0.85628104,-0.35203913,-0.09756454,0
-1.1987935,-0.05698201,-0.21597056,0
-1.5200967,-0.057674296,-0.2789013,0
-0.699929,-0.60284615,-0.09138827,0
-1.3542627,0.051551193,-0.19408016,0
-1.7615769,0.23069417,-0.2893397,0
-1.0963717,-0.3087792,-0.16301925,0
-1.3394904,0.10173373,-0.16377454,0
-1.3932947,0.07194175,-0.19748473,0
-0.2729289,-1.0990931,0.05167687,0
-0.37927526,-1.0204622,-0.033650227,0
-1.0769838,-0.2613022,-0.13425373,0
-1.4347454,0.049469594,-0.23435783,0
-1.04671,-0.31412688,-0.15543036,0
-1.2547625,0.0982501,-0.18157047,0
-1.2639506,0.12069852,-0.19690332,0
-1.2346085,-0.07830653,-0.2281414,0
-1.1541538,-0.14834294,-0.25831336,0
-1.0394118,-0.23444173,-0.1756809,0
-0.83111876,-0.37113133,-0.19877115,0
-1.0697615,-0.36412698,-0.22293462,0
-0.64127654,-0.68447405,-0.22726394,0
-0.93650365,-0.36645606,-0.17121933,0
-0.87573636,-0.28640693,-0.115075774,0
-0.88689727,-0.27473482,-0.20047462,0
-1.6586773,0.25110027,-0.29194364,0
-1.6319506,0.29397383,-0.26546595,0
-1.4158283,0.065614134,-0.21434987,0
-0.7975448,-0.4504985,-0.20335634,0
-0.75635576,-0.6370835,-0.221654,0
-0.96075773,-0.5697754,-0.18068047,0
-1.1401216,-0.27964368,-0.25328308,0
-0.8755454,-0.30522192,-0.14599684,0
-0.82513547,-0.4098714,-0.11991306,0
-0.44712424,-0.55312127,0.03968923,0
-0.9821395,-0.18613024,-0.15068044,0
-1.4016956,-0.2882637,-0.2660279,0
-1.3147227,-0.41307852,-0.2912316,0
-1.5233667,-0.13323651,-0.2496956,0
-2.333802,0.5172668,-0.46901426,0
-1.569382,0.058458887,-0.3092497,0
-1.3965747,-0.059314206,-0.28305927,0
-1.5936368,0.13891412,-0.27834582,0
-1.9676608,0.6316249,-0.35522228,0
-1.3358198,0.17584081,-0.16646945,0
-1.6530621,0.25093967,-0.27316573,0
-1.6922555,0.12472371,-0.29084116,0
-0.94774085,-0.56412137,-0.09871179,0
-1.7643744,-0.11900052,-0.32255578,0
-1.4926639,0.04096721,-0.22204088,0
-1.088541,-0.14978044,-0.07277735,0
-1.525169,0.05864582,-0.25216022,0
-1.3081418,-0.32891524,-0.21217488,0
-1.1481788,-0.24150346,-0.14523253,0
-0.9862592,-0.37930456,-0.15959093,0
-1.5186307,-0.17249906,-0.21766794,0
-1.7800897,0.09995185,-0.3316889,0
-1.262565,-0.12878977,-0.2170481,0
-0.98471695,-0.31285733,-0.23977719,0
-0.9087975,-0.3851841,-0.15080188,0
-1.004702,-0.32775176,-0.17735717,0
-1.068257,-0.22591493,-0.14080957,0
-1.05049,-0.18209869,-0.115057886,0
-1.2336628,0.010250647,-0.15816866,0
-1.3594404,0.14195694,-0.18120427,0
-1.1125853,-0.1686239,-0.24268441,0
-0.6596365,-0.7133013,-0.20606661,0
-0.7863251,-0.60841,-0.1788726,0
-1.7548376,0.18016957,-0.3666595,0
-1.2864527,0.004086937,-0.20645717,0
-0.9535826,-0.21088257,-0.1549665,0
-1.2273463,-0.077536665,-0.23531517,0
-1.2926897,-0.16068913,-0.29801485,0
-1.5487381,-0.13377997,-0.3318816,0
-1.8985068,0.2014931,-0.39689484,0
-1.7181299,0.19896032,-0.32506827,0
-0.9287526,-0.16124238,-0.0998849,0
-1.1060307,-0.03072586,-0.1250553,0
-1.7005063,0.17500357,-0.3552776,0
-1.5646632,0.18906921,-0.29619393,0
-1.0337864,-0.28815213,-0.18703558,0
-0.44548878,-0.6966505,0.037353013,0
-0.8736643,-0.4002832,-0.0749701,0
-0.6645956,-0.53143764,-0.06680759,0
-0.5246378,-0.57857716,-0.11066436,0
-0.5440914,-0.72046316,-0.17981848,0
-1.2292653,-0.15923017,-0.17720419,0
-1.3366665,0.15864882,-0.24002877,0
-1.3417193,0.09422271,-0.25007308,0
-0.7136877,-0.5153344,-0.1328794,0
-0.49167815,-0.44867,-0.099191055,0
-0.640938,-0.33237156,-0.081270024,0
-1.5858629,0.10282969,-0.282125,0
